,Needs
2,Relieving Economic Burden for International Students Having A Delay.
3,"Both students and teachers are demotivated. I notice that many fellow students have forgotten how you invest in relationships that make group work emotionless and without involvement, even if you try to invest yourself"
5,"The lack of social contacts, I came to live new in Delft myself and I have not been able to meet new people yet. At first everything was online and the online guidance with teachers and fellow students ran out. Now that we can come again a day a week, that is a lot better and I like studying more fun. I do experience more problems with my back and neck due to a poor home workplace, I am also less moving and I notice that I feel less good because of this."
8,"Students could be on BK without a reservation to do group projects, for example. With the eternal zoom you get very tired and it is difficult to work together"
15,"Staring too much at a computer screen, having very little energy, being over stimulated. Not being able to be with too many people in succession, need more rest. have little inspiration and motivation."
20,On Campus Education. Basically the thing we all paid for and came to the Netherlands. This was the most amount of money that all students have ever spent on pre -prerocorded lectures and zoom (if you were lucky).
21,"I had little guidance from the TU when I was diagnosed with a burnout or depression. Especially from BME there has been little attention for the disappearance of me or helping to find a project. I understand that everyone is having a hard time and is busy, but I now have the idea that I have even become a song in a small master."
22,"Loneliness, fatigue, socially stimulated. Studying was much more difficult so I didn't show what I can do. I could have achieved higher figures under normal circumstances"
24,"Limited study places or the problem that Study & Sleep & Relaxation take place in the same place. Little contact with fellow students with whom I am not super good friends, making creativity and asking questions more difficult"
26,I would like to do group projects again physically
29,Proced exams are terrible!
31,"Concentration of problems during the lessons. More stressful exams, because they were usually planned in weird and non -useful ways, especially at the start of the Corona crisis. The best exams I have had were open book and that you can go back to previous questions you have already answered. Furthermore, the options to ask for help in my idea were less frequent and useful."
37,The Waiting Time for the TU Delft Psychologists should be decreased.
40,"I wish that the lecturers' Quality can be equally good. I felt so disappointed under the tutelage of my previous tutors who failed to comply with their duty in such a prestigious school. And yet, I have no choice but to move on. They have no group regarding my sitation. Instead, push me to continuous on my track without further explanation or clarification. I am Deeply Disappointed."
42,"The design of a home workplace, or the aid, as an announcement in Pulse/ Brightspace. Also ways to stimulate more to continue to develop yourself."
44,I had it and that has been sitting for a lot of fatigue around the period of one of my mid -terms
45,"Online education is jerk. people don't see is jerk. Sitting behind my monitor 10 hours a day is jerk. Yes I exercise, yes I pay attention to food, but this is just not healthy. I want to be able to move, live. digital = completely cunt."
52,"I found it difficult that I no longer had an income from the moment my student finance / loan stopped (this would also have been difficult without the Coronacrisis). I have been delayed by the Coronacrisis, so I was without income for longer than I had planned."
57,I don't know why it is but I am less motivated since the coronacrisis.
59,Tuition Fees for Academic Year 2020-21 Should Be Reimbursed AS International Students Are Paying Hindy Fees and Not Able To Enjoy Any of the University Resources. Paying So Much Takes A Toll On Their Mental Health and Dealing with Finance is a Crucial Part for Mental Well-Being. Please Refund Fees
62,"poor home workplace, no guidelines on camera on or off during lectures, graduating in total loneliness, little social contact, not being able to go to the university to study"
66,The shared labs where you could ask questions to TAs were now online. We as students have the idea that a TA can now cut a conversation much easier online than it is normal in a live setting.
67,"Lonely if you have a profession alone, the room is not optimally distracted quickly, so in the evening also and during the weekend also, do not grab a rest but also not effectively busy"
68,"miss physical education. During my studies (Architecture) you just need a teacher (and fellow students) who can sketch on your printed work and thus bring depth to the design. Some teachers prefer to teach digitally or come to the faculty as little as possible. This keeps communication difficult. Each guidance via Zoom also feels like a presentation moment, because it needs to be meticulously prepared (making slides, order of presentation, questions in advance). Physical education makes it all looser, causes less 'deadline' stress feeling and also leaves something to chance. In my opinion, digital education remains a forced form of communication and is less appropriate for a long graduation process. It was a long year for me, but in the end everything will be fine."
74,"I have noticed that as soon as you can no longer come along with the study rhythm, even though it is due to health circumstances that suddenly change without being able to do anything about it, that you are no longer seen and no one wants to help you to See what is still needed. I feel that if you are doing badly, nobody fascinates something and you will be left to your fate, even when you ask for help."
76,"Not allowed to go to the campus, TU Delft steering group that does not care about students and Knikken all Dreamteams without thinking."
77,"52,0162690, 4,386379"
80,Difficult communication via Zoom. feeling of loneliness. No exhaust valve for study and stress.
85,Graduating at home: reading literature and writing a report Only in your room is incredibly lonely and totally not motivating. As soon as it can have to be graduates really quickly go to the TU and physically with supervisors meetings.
89,Too much behind a screen must be the lack of social contact
93,"depression, anxiety no contact with fellow students and high need for a pyschologist but have months long waiting times and people who don't help you (even within the TU, the students are also worthless)"
94,"No blended learning, no blended learning. Really worthless way of teaching. Also no more online exams. never again. I just want to go into the lecture hall with an optimistic feeling that I will get things in the coming year and not as a result of endless home lessons and examination."
100,Not finished with a large group of fellow students.
104,"Normally I am a super motivated person of myself, but the last two months of the year I notice that it takes a lot of effort to sit behind your laptop all day and deliver work. Because of this I do not perform the way I would normally want."
107,"Social contact would be for me via AEGEE. But everything was online and then I don't know people well enough to participate comfortably. Also drinks in pairs is uncomfortable for me. Finally, everyone is about drinking. I don't drink alcohol and don't like the nightlife. It seems as if there is nothing to do for me. There are no activities for me and therefore I don't meet new people."
109,"I just can't study at home anymore. I was well on my way to my P, only the last quarter did not work anymore."
111,"1) Looking at a screen for whole days suffers from headache 2) requirements that are not reduced or even increased all its circumstances, causes a sense of misunderstanding and demotivation."
112,"I think it is very unfortunate that students have always stayed outside the picture with the government. We have never been appointed once during the press conferences. I find this very pathetic, also because, like all other people, we have had to hand in our freedom and physically the least bothered by the coronavirus."
113,"The Students Lives Are Devastated, They Have Lost All Their Incomes and They Couldern't Concentrate on Studies from Locked Small Student Rooms."
